team,rating
Brazil,1837.56
Belgium,1821.92
Argentina,1770.65
France,1764.85
England,1737.46
Spain,1716.93
Italy,1713.86
Netherlands,1679.41
Portugal,1678.65
Denmark,1665.47
Germany,1658.96
Mexico,1649.57
Uruguay,1640.95
USA,1635.01
Croatia,1632.15
Switzerland,1621.43
